# Alpha    Lift Coefficient    Drag Coefficient    Moment Coefficient
-20.00    -0.230804    0.174613    -0.037361
-19.00    -0.227419    0.172237    -0.040623
-18.00    -0.389938    0.212078    -0.032688
-17.00    -0.349059    0.194188    -0.034576
-16.00    -0.202228    0.151137    -0.038706
-15.00    -0.304825    0.172391    -0.041903
-14.00    -0.228845    0.148222    -0.036145
-13.00    -0.284571    0.152876    -0.044248
-12.00    -0.514273    0.264600    0.066156
-11.00    -0.337176    0.144701    -0.041704
-10.00    -0.298621    0.127868    -0.032996
-9.00    -0.353249    0.125493    -0.028950
-8.00    -1.469650    0.109962    0.238433
-7.00    -0.322644    0.101226    -0.048885
-6.00    -0.237968    0.084576    -0.070642
-5.00    -0.147779    0.070400    -0.080686
-4.00    -0.022122    0.056307    -0.099713
-3.00    0.171401    0.031491    -0.127790
-2.00    0.300313    0.028176    -0.130577
-1.00    0.448548    0.025027    -0.135364
0.00    0.577384    0.022457    -0.136910
1.00    0.715399    0.020537    -0.139704
2.00    0.825188    0.021248    -0.138721
3.00    0.943752    0.021759    -0.139155
4.00    1.036498    0.023652    -0.136204
5.00    1.146124    0.024853    -0.135596
6.00    1.230210    0.027361    -0.131570
7.00    1.336582    0.028664    -0.130338
8.00    1.418752    0.030654    -0.125419
9.00    1.523256    0.029830    -0.122048
10.00    1.586874    0.030057    -0.112842
11.00    1.597977    0.031597    -0.096409
12.00    1.561583    0.037863    -0.079248
13.00    1.485221    0.052423    -0.067227
14.00    1.435950    0.068240    -0.061448
15.00    1.446691    0.077792    -0.056090
16.00    1.472101    0.087011    -0.052190
17.00    1.492334    0.098250    -0.049615
18.00    1.445542    0.118584    -0.054118
19.00    1.312184    0.159740    -0.076594
20.00    1.182843    0.236441    -0.111242
